"Time","Whole","Hokkaido","Aomori","Iwate","Miyagi","Akita","Yamagata","Fukushima","Ibaraki","Tochigi","Gunma","Saitama","Chiba","Tokyo","Kanagawa","Niigata","Toyama","Ishikawa","Fukui","Yamanashi","Nagano","Gifu","Shizuoka","Aichi","Mie","Shiga","Kyoto","Osaka","Hyogo","Nara","Wakayama","Tottori","Shimane","Okayama","Hiroshima","Yamaguchi","Tokushima","Kagawa","Ehime","Kochi","Fukuoka","Saga","Nagasaki","Kumamoto","Oita","Miyazaki","Kagoshima","Okinawa"
237,516.90481615185,7.60396695362862,0,0,9.27758073355817,0.0756125258823616,0,3.97842918761363,3.93669580749869,5.10519281804739,10.168003589863,23.6294017167297,28.569472254333,172.404839329364,72.1966429324272,0.743939659878186,0.744017904753701,3.5230026677815,0.121788526810614,0.277815426658347,0.843502366921821,3.54961619272618,1.90812306954317,28.3566515187268,3.96404215198657,1.0960049897838,6.8815091386785,76.2874165332499,16.65516013962,0,0.324515413335794,1.188679612747,0.0131268321944016,0.105503532960222,1.07776006407638,1.49720820870168,0.174485683918396,0.727995527594068,0,0.489266876304396,15.3484246354935,0.435508002800194,0.202712167165617,2.97113586285309,0.143979945316002,0.526565624170692,0.338947703617931,9.44057232253647
238,522.875230808531,7.80564406468907,0,0,9.38409226054733,0.111866565335757,0,4.07499596513728,3.85116727264386,5.66066232977715,11.0394461896138,24.6622636453976,28.5647078617536,177.885069995359,70.7980857554028,0.833116805668469,0.481101502129642,3.32289585291345,0.052176494573417,0.189483927281897,0.716853165225136,3.79667448051158,1.67040726052748,29.1962399669876,3.13266262963213,0.95535966981648,6.70108791793675,77.5957474605165,16.7787630631231,0,0.245099484283697,1.44901081185214,0.0181615372216711,0.134997748209931,1.10874032681553,1.08150045270744,0.139233792071183,0.716037179382573,0,0.442626713254087,14.6813299113862,0.335390231960602,0.240353331038878,2.77449731587915,0.121788526810614,0.604145264345747,0.351462565715428,9.17028351309603
239,510.061138018238,8.10936648184543,0,0,9.3168247497074,0.144206413229903,0,3.95700666886776,3.46926995616813,6.3814859706167,12.1958743105234,23.8565320574206,28.6637716410188,175.345149742686,65.4615574171795,0.890474006345579,0.253347212592163,3.00483507917781,0,0.182007095473077,0.587703618520757,3.72280592821075,1.35066378783232,28.9486657109346,2.78889674071217,0.947536059412449,6.693527974404,76.4514757186836,16.2526160414149,0,0.257049330250949,1.67632010897149,0.0249253370405378,0.167637953211828,1.41637656781476,0.512501600577359,0.143979945316002,0.749118709821959,0,0.465818045190243,13.0667531294419,0.265768472126616,0.266113916561935,2.1914175959881,0.052176494573417,0.633001927656245,0.505845381182914,8.6907331195344
240,483.00217940142,8.34507482493628,0,0,8.98267491566125,0.180937517528707,0,3.62752901989795,2.75228508873677,6.78856814150283,13.1324855814999,21.904873780868,28.3081521749298,166.278289614778,59.3964793537956,1.03391531520125,0.157899045201775,2.78425883513226,0,0.130358029907316,0.513048039257545,3.28552646320297,1.36026378022599,27.0414734300246,2.55443176308095,1.05126557801912,6.9751734878038,73.5292669142911,15.6150054938063,0,0.209571823866271,1.78081534120147,0.0338782092422367,0.199452360733646,1.65289652778424,0.182534524480733,0.121788526810614,0.766756867605681,0,0.410869562397738,10.8486793029144,0.173965021384031,0.261022318881798,1.36912925609749,0,0.557121311511761,0.682661412158708,8.02180084505876
241,454.4679789179,8.8777646961224,0,0,8.29667572444369,0.218615983279315,0,3.03200835139057,2.16075703891586,6.91931852628618,13.1185830727947,19.9576444253721,28.0000043249574,155.739944392216,55.7422109917912,1.22504362365259,0.138400103996362,2.72079743715326,0,0.0989394677126648,0.568998962488372,2.5459938940909,1.62810444105415,25.9335734409479,2.1948612246828,1.07161370979714,7.34823986432397,67.5459683721847,15.2421752321587,0,0.183818224243194,1.60809027489183,0.0455039819658952,0.237074422536555,1.73132604313457,0.0989394677126648,0.052176494573417,0.739459965168677,0,0.216748052382713,9.21758005090793,0.052176494573417,0.196156439889419,0.75796676718193,0,0.387566726534019,0.904616733158225,7.7125414772327
242,444.092883881427,10.0260200478019,0,0,7.66517650889132,0.24970249594436,0,2.6864158067774,1.84532962307799,6.66826807863358,13.3536757491244,19.2221486090628,28.9323404822791,151.805554547106,55.2159791872037,1.50956327279915,0.177121003046564,2.67205260798689,0,0.120785807303895,0.670668386650381,1.59900013207451,2.00138054106573,26.2809867960634,1.98648206252327,0.994838593453344,7.7062591483738,63.3913272131926,15.06143864884,0,0.175597677175778,1.02612771666775,0.0900444524357703,0.25557187753286,1.74479294812424,0.120785807303895,0,0.635232292807505,0,0.0781815353338992,8.2897106560099,0,0.121788526810614,0.484670628160435,0,0.265768472126616,1.2235816734754,7.73851426818567
243,451.361342179867,11.3268054142341,0,0,7.53705092384623,0.260188630806976,0,2.45169616067269,1.8209132770315,6.2624134957166,14.2988196719394,19.7321035511241,31.2824179315512,153.370095184852,57.3053158655155,1.82901438465966,0.249551158789868,2.90716618881278,0,0.154571645254049,0.734753198872783,1.06715346212295,2.29187972314152,26.4534696137343,1.93596746810102,1.01655221780708,8.03965479233687,62.3900336466861,15.0483761392434,0,0.124150406096952,0.534351719274706,0.118043417579754,0.249189056331187,1.78684078518927,0.154571645254049,0,0.486151387735739,0,0.0989394677126648,7.83736499728823,0,0.052176494573417,0.346756531090909,0,0.173965021384031,1.50074217854558,8.13213532495841
244,469.837943314199,12.5575603241156,0,0,7.49917478470717,0.229297497619981,0,2.36366412167588,1.77940880724836,5.18882223298732,15.1795054272558,20.401191368151,32.2467658410349,162.483091912568,59.9263977075342,2.08208225573479,0.300306392917145,3.27575686945111,0,0.167255240778884,0.737135696308436,1.03661230281365,2.36815935196162,27.2724762100926,1.91216498353016,1.22036801944777,8.4435202334827,63.4809255541669,15.5063888472825,0,0.12493334918375,0.372463096106686,0.151879326827944,0.255792353805523,1.85106551334104,0.197081124552192,0,0.296188187087646,0,0.120785807303895,7.61165210704884,0,0,0.303146916458436,0,0.052176494573417,1.75565882817279,9.08708822687006
245,469.19509839553,13.6816435250173,0,0,6.67200329300013,0.21972527501656,0,2.35307995772109,1.75660145883664,3.98030850480712,14.6764740470176,20.1808865351405,31.2902509740983,165.437381923236,58.6223084060081,2.11740613664462,0.339922862138631,3.38472485854813,0,0.169982187787354,0.634123452552605,1.065264908777,2.12965863162637,28.0572643310586,1.98737122164919,1.29764068054312,8.20626609000051,62.6964127400223,15.1773781543207,0.0745647094332696,0.163604608306524,0.268258019710456,0.190563600799855,0.315558129255567,2.35125461226132,0.194931128146555,0,0.147324299655957,0,0.139658703367395,7.04940444084593,0,0,0.251418104456043,0,0,1.9065386613823,10.0079392223404
246,450.918541339483,14.2687556267307,0.0149129418866539,0,5.67389657089914,0.26044451067129,0,2.35776322115661,1.73201950329606,3.76216583696663,12.9282154835224,19.4954906171484,29.5686616817873,160.570753420233,54.8225040937548,1.90975882888338,0.360614351381631,3.43268805750214,0,0.128265393830877,0.589160073034984,1.28140435733013,1.79976694260354,27.3954566713309,2.22356729884614,1.28255059019665,7.83366704863894,59.1147361326207,14.0688367326507,0.11456764750129,0.225603686300411,0.205856913729273,0.230781084820936,0.349150588832171,3.19605374538252,0.176187253709883,0,0.128599316343061,0,0.147324299655957,6.0718483449963,0,0,0.202323675815528,0,0,2.23204123286132,10.7621475626308
