,ñkäCìπ,ê¬êX,ä‚éË,ã{èÈ,èHìc,éRå`,ïüìá,àÔèÈ,ì»ñÿ,åQîn,çÈã ,êÁót,ìåãû,ê_ìﬁêÏ,êVäÉ,ïxéR,êŒêÏ,ïüà‰,éRóú,í∑ñÏ,äÚïå,ê√â™,à§ím,éOèd,é†âÍ,ãûìs,ëÂç„,ï∫å…,ìﬁó«,òaâÃéR,íπéÊ,ìáç™,â™éR,çLìá,éRå˚,ìøìá,çÅêÏ,à§ïQ,çÇím,ïüâ™,ç≤âÍ,í∑çË,åFñ{,ëÂï™,ã{çË,é≠éôìá,â´ìÍ
í∑ñÏ,52.0547945205,60.2739726027,32.8767123288,156.164383562,13.698630137,43.8356164384,57.5342465753,60.2739726027,254.794520548,830.136986301,2772.60273973,690.410958904,14545.2054795,764.383561644,830.136986301,1243.83561644,43.8356164384,16.4383561644,1701.36986301,337704.109589,1616.43835616,443.835616438,3221.91780822,13.698630137,720.547945205,312.328767123,1295.89041096,134.246575342,5.47945205479,8.21917808219,8.21917808219,2.7397260274,38.3561643836,65.7534246575,19.1780821918,0.0,13.698630137,8.21917808219,2.7397260274,90.4109589041,2.7397260274,2.7397260274,5.47945205479,5.47945205479,0.0,2.7397260274,0.0
äÚïå,0.0,8.21917808219,10.9589041096,24.6575342466,2.7397260274,8.21917808219,21.9178082192,21.9178082192,27.397260274,13.698630137,60.2739726027,128.767123288,1698.63013699,389.04109589,189.04109589,136.98630137,131.506849315,84.9315068493,10.9589041096,1506.84931507,216397.260274,586.301369863,98298.630137,953.424657534,1731.50684932,1175.34246575,1309.5890411,238.356164384,8.21917808219,16.4383561644,8.21917808219,8.21917808219,68.4931506849,120.547945205,38.3561643836,189.04109589,21.9178082192,10.9589041096,5.47945205479,90.4109589041,8.21917808219,8.21917808219,16.4383561644,10.9589041096,0.0,10.9589041096,0.0
ê√â™,112.328767123,46.5753424658,87.6712328767,172.602739726,24.6575342466,591.780821918,482.191780822,142.465753425,169.863013699,136.98630137,583.561643836,1167.12328767,27926.0273973,22252.0547945,123.287671233,57.5342465753,106.849315068,76.7123287671,1331.50684932,441.095890411,572.602739726,671375.342466,16791.7808219,306.849315068,161.643835616,1849.31506849,2616.43835616,545.205479452,21.9178082192,38.3561643836,24.6575342466,27.397260274,191.780821918,298.630136986,87.6712328767,5.47945205479,63.0136986301,41.095890411,19.1780821918,408.219178082,19.1780821918,24.6575342466,54.7945205479,35.6164383562,5.47945205479,57.5342465753,82.1917808219
à§ím,1728.76712329,104.109589041,167.123287671,553.424657534,117.808219178,68.4931506849,142.465753425,180.821917808,232.876712329,139.726027397,484.931506849,2416.43835616,21879.4520548,5816.43835616,287.671232877,515.068493151,947.945205479,1186.30136986,1512.32876712,3136.98630137,95084.9315068,16490.4109589,3304994.52055,54923.2876712,1657.53424658,5578.08219178,12471.2328767,1873.97260274,512.328767123,139.726027397,68.4931506849,82.1917808219,742.465753425,1145.20547945,339.726027397,35.6164383562,1175.34246575,246.575342466,68.4931506849,2493.15068493,54.7945205479,293.150684932,441.095890411,227.397260274,252.054794521,487.671232877,1268.49315068
éOèd,0.0,2.7397260274,5.47945205479,5.47945205479,0.0,2.7397260274,8.21917808219,8.21917808219,8.21917808219,2.7397260274,24.6575342466,24.6575342466,643.835616438,95.8904109589,5.47945205479,167.123287671,334.246575342,5.47945205479,2.7397260274,13.698630137,947.945205479,54.7945205479,54235.6164384,349526.027397,646.575342466,1504.10958904,12095.890411,30.1369863014,3350.68493151,1002.73972603,0.0,0.0,8.21917808219,16.4383561644,5.47945205479,0.0,2.7397260274,2.7397260274,0.0,21.9178082192,2.7397260274,2.7397260274,2.7397260274,2.7397260274,0.0,0.0,0.0
é†âÍ,0.0,2.7397260274,5.47945205479,13.698630137,2.7397260274,5.47945205479,8.21917808219,16.4383561644,19.1780821918,8.21917808219,43.8356164384,68.4931506849,1408.21917808,298.630136986,16.4383561644,52.0547945205,926.02739726,583.561643836,5.47945205479,416.438356164,2071.23287671,178.082191781,1964.38356164,841.095890411,327550.684932,114290.410959,23364.3835616,3065.75342466,375.342465753,293.150684932,10.9589041096,8.21917808219,87.6712328767,145.205479452,49.3150684932,0.0,526.02739726,16.4383561644,5.47945205479,164.383561644,10.9589041096,10.9589041096,27.397260274,16.4383561644,2.7397260274,19.1780821918,0.0
ãûìs,49.3150684932,49.3150684932,57.5342465753,128.767123288,24.6575342466,54.7945205479,117.808219178,123.287671233,158.904109589,580.821917808,265.753424658,534.246575342,12175.3424658,3326.02739726,553.424657534,446.575342466,794.520547945,1304.10958904,63.0136986301,317.808219178,1178.08219178,1410.95890411,5857.53424658,1430.1369863,115994.520548,1527123.28767,244824.657534,23326.0273973,40813.6986301,306.849315068,646.575342466,87.6712328767,1550.68493151,1147.94520548,306.849315068,178.082191781,268.493150685,123.287671233,82.1917808219,1328.76712329,71.2328767123,95.8904109589,156.164383562,145.205479452,10.9589041096,82.1917808219,0.0
ëÂç„,2391.78082192,205.479452055,268.493150685,1175.34246575,156.164383562,172.602739726,287.671232877,200.0,230.136986301,139.726027397,419.178082192,1934.24657534,30663.0136986,5008.21917808,767.123287671,1032.87671233,2010.95890411,1589.04109589,101.369863014,1663.01369863,1273.97260274,2153.42465753,11512.3287671,12219.1780822,22961.6438356,245986.30137,7479443.83562,560893.150685,197093.150685,36750.6849315,1120.54794521,761.643835616,5361.64383562,5131.50684932,1167.12328767,1947.94520548,3353.42465753,1638.35616438,1183.56164384,6501.36986301,183.561643836,698.630136986,1202.73972603,772.602739726,934.246575342,1756.16438356,2230.1369863
ï∫å…,597.260273973,16.4383561644,21.9178082192,49.3150684932,5.47945205479,10.9589041096,49.3150684932,202.739726027,93.1506849315,52.0547945205,224.657534247,413.698630137,6720.54794521,1402.73972603,52.0547945205,101.369863014,175.342465753,161.643835616,27.397260274,134.246575342,238.356164384,553.424657534,1890.4109589,43.8356164384,2246.57534247,23367.1232877,556830.136986,3066547.94521,1049.31506849,1038.35616438,2309.5890411,158.904109589,4517.80821918,1868.49315068,449.315068493,810.95890411,920.547945205,328.767123288,134.246575342,1484.93150685,68.4931506849,583.561643836,342.465753425,246.575342466,13.698630137,413.698630137,698.630136986
ìﬁó«,0.0,5.47945205479,2.7397260274,5.47945205479,2.7397260274,2.7397260274,5.47945205479,5.47945205479,8.21917808219,8.21917808219,10.9589041096,16.4383561644,298.630136986,71.2328767123,5.47945205479,597.260273973,13.698630137,13.698630137,0.0,5.47945205479,8.21917808219,35.6164383562,430.136986301,3271.23287671,164.383561644,40786.3013699,194230.136986,1049.31506849,420852.054795,991.780821918,2.7397260274,0.0,24.6575342466,46.5753424658,24.6575342466,0.0,5.47945205479,2.7397260274,0.0,57.5342465753,2.7397260274,2.7397260274,5.47945205479,2.7397260274,0.0,5.47945205479,0.0
